iter	Passed	Remaining
0	1	1992
1	3	1842
2	5	1765
3	7	1744
4	8	1754
5	10	1782
6	12	1817
7	15	1863
8	17	1895
9	19	1912
10	21	1932
11	23	1952
12	25	1952
13	27	1959
14	30	1970
15	32	1976
16	34	1992
17	36	2003
18	38	2005
19	41	2017
20	43	2010
21	44	1998
22	46	1987
23	48	1987
24	50	1980
25	52	1979
26	54	1959
27	56	1947
28	57	1935
29	59	1933
30	61	1927
31	63	1919
32	65	1911
33	66	1901
34	68	1892
35	70	1878
36	71	1871
37	73	1860
38	75	1851
39	76	1845
40	78	1838
41	80	1831
42	82	1830
43	84	1826
44	85	1823
45	88	1825
46	89	1821
47	91	1819
48	93	1820
49	95	1820
50	97	1819
51	99	1818
52	101	1812
53	103	1807
54	105	1804
55	106	1796
56	108	1789
57	109	1785
58	111	1783
59	113	1778
60	115	1775
61	117	1772
62	118	1768
63	120	1763
64	122	1761
65	124	1757
66	126	1756
67	127	1753
68	130	1754
69	131	1753
70	133	1752
71	135	1747
72	137	1742
73	138	1736
74	140	1734
75	142	1730
76	144	1726
77	145	1722
78	147	1717
79	148	1711
80	150	1710
81	152	1705
82	154	1703
83	155	1700
84	157	1695
85	159	1693
86	161	1691
87	163	1691
88	164	1688
89	166	1685
90	168	1683
91	170	1681
92	171	1676
93	173	1673
94	175	1669
95	176	1664
96	178	1659
97	179	1656
98	181	1654
99	183	1651
100	185	1648
101	186	1644
102	188	1641
103	190	1639
104	192	1637
105	194	1636
106	195	1634
107	197	1632
108	199	1630
109	201	1628
110	203	1626
111	204	1625
112	206	1623
113	208	1620
114	210	1617
115	212	1615
116	213	1613
117	215	1611
118	217	1610
119	219	1608
120	220	1604
121	222	1603
122	224	1601
123	226	1599
124	228	1598
125	230	1596
126	231	1593
127	233	1592
128	235	1589
129	237	1586
130	238	1583
131	240	1581
132	242	1578
133	244	1577
134	245	1574
135	247	1571
136	248	1567
137	250	1564
138	252	1561
139	253	1559
140	255	1557
141	257	1555
142	259	1554
143	261	1552
144	262	1550
145	264	1547
146	266	1545
147	268	1543
148	269	1541
149	271	1538
150	273	1536
151	275	1534
152	276	1532
153	278	1530
154	280	1528
155	282	1526
156	283	1524
157	285	1522
158	287	1521
159	289	1519
160	291	1517
161	293	1516
162	294	1514
163	296	1512
164	298	1509
165	300	1507
166	301	1505
167	303	1504
168	305	1502
169	307	1500
170	308	1498
171	310	1496
172	312	1494
173	314	1492
174	316	1491
175	318	1489
176	319	1487
177	321	1486
178	323	1483
179	325	1482
180	327	1480
181	328	1478
182	330	1476
183	332	1474
184	334	1472
185	336	1470
186	337	1468
187	339	1466
188	341	1463
189	342	1461
190	344	1459
191	346	1456
192	347	1454
193	349	1452
194	351	1451
195	353	1448
196	354	1446
197	356	1444
198	358	1442
199	360	1440
200	362	1439
201	363	1437
202	365	1435
203	367	1433
204	369	1431
205	370	1427
206	371	1424
207	373	1422
208	375	1419
209	376	1417
210	378	1414
211	379	1411
212	381	1409
213	383	1407
214	385	1406
215	386	1403
216	388	1401
217	389	1398
218	391	1397
219	393	1395
220	395	1393
221	396	1391
222	398	1388
223	400	1387
224	401	1384
225	403	1382
226	405	1380
227	406	1377
228	408	1375
229	410	1373
230	412	1371
231	413	1369
232	415	1368
233	417	1366
234	418	1363
235	420	1361
236	422	1359
237	424	1357
238	425	1355
239	427	1354
240	429	1352
241	431	1350
242	433	1349
243	434	1346
244	436	1344
245	438	1343
246	440	1341
247	441	1339
248	443	1337
249	445	1335
250	447	1334
251	448	1332
252	450	1330
253	452	1328
254	454	1326
255	455	1324
256	457	1322
257	458	1320
258	460	1317
259	462	1316
260	464	1314
261	466	1313
262	468	1311
263	469	1309
264	471	1307
265	473	1306
266	475	1304
267	476	1302
268	479	1301
269	480	1300
270	482	1298
271	484	1297
272	486	1295
273	488	1293
274	489	1291
275	491	1289
276	493	1288
277	495	1286
278	497	1284
279	499	1283
280	500	1281
281	502	1279
282	504	1278
283	506	1276
284	508	1274
285	509	1273
286	511	1271
