iter	Passed	Remaining
0	81	81121
1	95	47667
2	107	35728
3	117	29290
4	128	25482
5	137	22844
6	147	20978
7	157	19492
8	166	18355
9	177	17557
10	186	16743
11	195	16077
12	204	15534
13	213	15034
14	222	14635
15	231	14267
16	240	13902
17	249	13632
18	258	13345
19	267	13118
20	277	12926
21	286	12731
22	294	12506
23	303	12337
24	312	12205
25	322	12067
26	331	11959
27	341	11858
28	351	11767
29	360	11669
30	370	11583
31	379	11484
32	389	11418
33	398	11334
34	407	11242
35	416	11149
36	426	11090
37	433	10986
38	443	10916
39	452	10849
40	461	10790
41	469	10709
42	477	10625
43	487	10582
44	493	10467
45	501	10408
46	510	10359
47	519	10306
48	527	10229
49	536	10189
50	545	10148
51	555	10127
52	566	10120
53	576	10092
54	586	10075
55	596	10056
56	607	10051
57	619	10065
58	631	10077
59	645	10111
60	660	10159
61	673	10195
62	687	10222
63	701	10261
64	712	10251
65	725	10260
66	736	10260
67	747	10249
68	756	10205
69	765	10166
70	774	10135
71	783	10095
72	792	10058
73	800	10013
74	810	10001
75	821	9983
76	830	9952
77	839	9925
78	847	9884
79	856	9854
80	866	9828
81	875	9797
82	883	9761
83	896	9781
84	912	9826
85	926	9845
86	939	9861
87	950	9851
88	960	9836
89	973	9845
90	986	9853
91	1000	9870
92	1011	9867
93	1024	9870
94	1034	9856
95	1044	9833
96	1054	9819
97	1065	9811
98	1079	9825
99	1090	9813
100	1102	9811
101	1114	9808
102	1124	9793
103	1134	9775
104	1144	9755
105	1150	9699
106	1160	9688
107	1170	9665
108	1180	9650
109	1189	9628
110	1199	9607
111	1208	9584
112	1217	9555
113	1227	9538
114	1237	9522
115	1248	9512
116	1258	9498
117	1268	9483
118	1279	9472
119	1285	9428
120	1289	9371
121	1299	9353
122	1311	9349
123	1324	9358
124	1336	9356
125	1347	9344
126	1356	9327
127	1366	9311
128	1375	9290
129	1385	9269
130	1394	9252
131	1406	9248
132	1415	9229
133	1424	9207
134	1434	9192
135	1446	9187
136	1456	9176
137	1466	9160
138	1480	9169
139	1491	9161
140	1502	9150
141	1511	9132
142	1520	9109
143	1530	9095
144	1539	9074
145	1545	9038
146	1555	9027
147	1565	9011
148	1574	8994
149	1583	8975
150	1592	8953
151	1601	8933
152	1610	8917
153	1620	8904
154	1629	8885
155	1640	8874
156	1650	8862
157	1660	8851
158	1671	8839
159	1684	8841
160	1693	8825
161	1703	8811
162	1712	8795
163	1724	8789
164	1733	8772
165	1741	8751
166	1751	8735
167	1758	8707
168	1768	8694
169	1778	8683
170	1788	8669
171	1798	8657
172	1807	8642
173	1818	8631
174	1826	8609
175	1835	8593
176	1846	8584
177	1856	8571
178	1865	8556
179	1875	8544
180	1884	8529
181	1894	8516
182	1906	8511
183	1916	8500
184	1927	8489
185	1938	8482
186	1954	8495
187	1967	8498
188	1982	8507
189	1997	8513
190	2011	8519
191	2024	8518
192	2036	8517
193	2049	8513
194	2061	8511
195	2075	8513
196	2082	8490
197	2094	8484
198	2107	8481
199	2119	8478
200	2131	8473
201	2143	8465
202	2154	8457
203	2163	8443
204	2172	8426
205	2182	8413
206	2193	8403
207	2203	8389
208	2211	8370
209	2222	8361
210	2231	8345
211	2240	8327
212	2249	8311
213	2256	8288
214	2265	8272
215	2275	8259
216	2283	8240
217	2294	8232
218	2304	8217
219	2314	8204
220	2323	8189
221	2333	8176
222	2342	8162
223	2353	8152
224	2363	8141
225	2372	8125
226	2382	8113
227	2390	8093
228	2402	8090
229	2413	8080
230	2427	8079
231	2442	8085
232	2457	8091
233	2472	8092
234	2484	8087
235	2499	8090
236	2515	8097
237	2529	8099
238	2543	8100
239	2555	8092
240	2566	8082
241	2577	8072
242	2587	8061
243	2598	8052
244	2607	8036
245	2616	8020
246	2624	7999
247	2632	7983
248	2643	7973
249	2652	7957
250	2662	7944
251	2671	7929
252	2680	7915
253	2690	7901
254	2700	7888
255	2709	7875
256	2719	7862
257	2729	7848
258	2737	7833
259	2746	7818
260	2756	7803
261	2765	7789
262	2774	7774
263	2783	7759
264	2791	7743
265	2800	7727
266	2809	7713
267	2818	7699
268	2827	7683
269	2837	7670
270	2846	7656
271	2854	7640
272	2864	7628
273	2874	7617
274	2885	7608
275	2894	7594
276	2903	7579
277	2914	7569
278	2923	7554
279	2934	7545
280	2942	7530
281	2952	7518
282	2963	7507
283	2973	7495
284	2982	7483
285	2992	7470
286	3000	7453
287	3009	7439
288	3020	7430
289	3029	7416
290	3039	7404
291	3049	7393
292	3060	7383
293	3070	7372
294	3079	7359
295	3088	7346
296	3100	7338
297	3109	7324
298	3119	7312
299	3128	7299
300	3137	7286
301	3146	7272
302	3156	7260
303	3164	7245
304	3173	7232
305	3183	7221
306	3194	7210
307	3204	7200
308	3213	7187
309	3223	7174
310	3232	7162
311	3243	7152
312	3253	7141
313	3264	7132
314	3276	7126
315	3290	7123
316	3306	7124
317	3318	7116
318	3327	7103
319	3340	7099
320	3353	7093
321	3366	7088
322	3377	7080
323	3387	7067
324	3398	7059
325	3411	7052
326	3422	7044
327	3432	7032
328	3439	7015
329	3448	7001
330	3456	6985
331	3465	6972
332	3474	6959
333	3484	6947
334	3491	6931
335	3501	6919
336	3511	6908
337	3520	6894
338	3530	6883
339	3539	6870
340	3548	6858
341	3558	6846
342	3567	6833
343	3576	6819
344	3586	6808
345	3594	6794
346	3602	6779
347	3610	6765
348	3618	6749
349	3628	6739
350	3638	6728
351	3648	6716
352	3659	6707
353	3669	6697
354	3679	6684
355	3690	6676
356	3697	6660
357	3709	6652
358	3719	6642
359	3730	6631
360	3741	6622
361	3751	6611
362	3760	6598
363	3769	6585
364	3780	6576
365	3791	6566
366	3799	6553
367	3808	6540
368	3815	6524
369	3824	6511
370	3833	6498
371	3841	6485
372	3851	6473
373	3859	6460
374	3867	6446
375	3876	6434
376	3885	6421
377	3894	6408
378	3903	6395
379	3911	6382
380	3922	6372
381	3931	6360
382	3940	6348
383	3951	6338
384	3960	6327
385	3970	6315
386	3979	6303
387	3989	6291
388	3998	6280
389	4007	6268
390	4017	6257
391	4026	6245
392	4036	6234
393	4044	6221
394	4052	6207
395	4061	6195
396	4071	6183
397	4081	6172
398	4092	6164
399	4102	6154
400	4111	6142
401	4120	6129
402	4131	6119
403	4141	6109
404	4152	6101
405	4163	6091
406	4173	6080
407	4185	6072
408	4195	6061
409	4206	6053
410	4219	6047
411	4234	6043
412	4251	6042
413	4267	6041
414	4282	6036
415	4296	6031
416	4311	6027
417	4326	6024
418	4340	6018
419	4355	6014
420	4369	6009
421	4382	6001
422	4396	5996
423	4411	5992
424	4423	5985
425	4439	5981
426	4452	5974
427	4466	5968
428	4479	5962
429	4493	5956
430	4506	5949
431	4519	5941
432	4532	5934
433	4543	5926
434	4556	5918
435	4568	5910
436	4579	5900
437	4590	5890
438	4600	5879
439	4610	5867
440	4620	5856
441	4627	5841
442	4635	5828
443	4644	5816
444	4655	5806
445	4665	5795
446	4674	5783
447	4684	5772
448	4694	5761
449	4704	5750
450	4714	5739
451	4724	5727
452	4734	5717
453	4741	5702
454	4750	5689
455	4758	5676
456	4767	5664
457	4776	5652
458	4785	5640
459	4795	5629
460	4804	5617
461	4814	5606
462	4824	5595
463	4831	5581
464	4841	5570
465	4850	5558
466	4861	5548
467	4871	5537
468	4881	5526
469	4889	5513
470	4899	5502
471	4907	5490
472	4917	5478
473	4926	5467
474	4937	5457
475	4946	5445
476	4956	5434
477	4966	5423
478	4975	5412
479	4985	5400
480	4995	5389
481	5003	5376
482	5013	5365
483	5022	5354
484	5030	5341
485	5039	5329
486	5048	5317
487	5057	5306
488	5066	5294
489	5074	5281
490	5085	5271
491	5094	5260
492	5104	5249
493	5113	5237
494	5122	5226
495	5131	5214
496	5141	5203
497	5150	5192
498	5159	5179
499	5169	5169
500	5179	5158
501	5188	5147
502	5197	5135
503	5207	5124
504	5217	5113
505	5227	5103
506	5236	5091
507	5246	5081
508	5256	5070
509	5266	5059
510	5274	5047
511	5284	5036
512	5292	5024
513	5303	5014
514	5311	5002
515	5322	4992
516	5331	4981
517	5340	4969
518	5350	4958
519	5358	4946
520	5367	4935
521	5376	4923
522	5384	4910
523	5393	4899
524	5400	4886
525	5410	4875
526	5419	4863
527	5430	4854
528	5441	4844
529	5451	4834
530	5461	4824
531	5472	4814
532	5483	4804
533	5492	4793
534	5504	4784
535	5513	4772
536	5522	4761
537	5533	4751
538	5543	4741
539	5553	4730
540	5564	4720
541	5571	4708
542	5581	4697
543	5591	4687
544	5601	4676
545	5610	4664
546	5619	4653
547	5628	4642
548	5637	4631
549	5646	4619
550	5655	4608
551	5665	4597
552	5675	4587
553	5685	4576
554	5694	4565
555	5704	4555
556	5713	4544
557	5726	4535
558	5736	4525
559	5747	4515
560	5759	4506
561	5772	4499
562	5786	4491
563	5800	4484
564	5814	4476
565	5826	4467
566	5840	4460
567	5852	4451
568	5866	4444
569	5880	4436
570	5895	4429
571	5908	4421
572	5921	4412
573	5933	4403
574	5944	4393
575	5954	4383
576	5964	4372
577	5973	4361
578	5983	4351
579	5993	4340
580	6003	4329
581	6012	4318
582	6022	4307
583	6031	4296
584	6041	4285
585	6051	4274
586	6060	4263
587	6068	4252
588	6077	4240
589	6087	4230
590	6096	4218
591	6105	4207
592	6114	4196
593	6124	4185
594	6132	4174
595	6140	4162
596	6149	4151
597	6159	4140
598	6167	4128
599	6176	4117
600	6185	4106
601	6193	4094
602	6202	4083
603	6211	4072
604	6220	4061
605	6230	4050
606	6240	4040
607	6249	4029
608	6259	4018
609	6269	4008
610	6279	3997
611	6289	3987
612	6299	3976
613	6309	3966
614	6319	3956
615	6332	3947
616	6342	3937
617	6352	3926
618	6365	3917
619	6378	3909
620	6390	3900
621	6405	3892
622	6415	3882
623	6426	3872
624	6436	3862
625	6447	3852
626	6458	3842
627	6470	3832
628	6482	3823
629	6493	3813
630	6504	3803
631	6518	3795
632	6532	3787
633	6545	3778
634	6560	3771
635	6574	3763
636	6586	3753
637	6597	3743
638	6607	3732
639	6620	3724
640	6633	3715
641	6645	3705
642	6655	3695
643	6665	3684
644	6674	3673
645	6684	3663
646	6695	3653
647	6706	3643
648	6716	3632
649	6728	3622
650	6738	3612
651	6748	3601
652	6758	3591
653	6768	3581
654	6778	3570
655	6789	3560
656	6800	3550
657	6810	3539
658	6820	3529
659	6829	3518
660	6837	3506
661	6847	3496
662	6854	3484
663	6863	3473
